feature1,feature2,class
0.7883556016042917,-0.8798585959543993,1
-0.873793482209626,-0.7332549644348927,1
-0.7021951987576804,-0.07258186804586991,1
-0.9129233863399265,0.6316208311167526,1
1.4386832757114134,-0.35416984337044605,1
0.796126919278033,-1.175371133217587,1
-0.5933950393067663,0.42960636497195204,1
0.9523284631212727,0.12913921166034414,1
-0.29477389356113565,-0.37426843521845443,1
1.1695117402470387,0.2568484961093276,1
0.20092508863895137,1.1338995491026247,1
0.2897883944375546,-1.5308390628427373,1
0.2184013107102702,-0.6091158963896586,1
0.6489473612718025,1.3358694635845216,1
-0.6659205416222898,-1.005597990375705,1
0.8084917541558391,-0.38074577609776117,1
-0.20661311448119266,-0.31074387308373413,1
-0.040473400248354906,0.10477079178892111,1
-0.9654904870197227,0.9656607495563969,1
1.3110173557334994,0.4041754007591603,1
1.1979596698125403,-1.2290887130815225,1
1.4600764147393972,-0.03740103074382494,1
-0.7159373133607991,-0.9590289392556218,1
0.9548452855545422,0.3785684038407532,1
-0.257360852691082,-1.1705533137462902,1
2.9307323496630824,2.0269939888682043,2
1.9068896891854963,1.6552496643177725,2
1.719658945785194,0.6572023448513621,2
1.7970934988179617,1.2134685544527744,2
1.7682393214478833,2.5557540679528694,2
0.8523113162470137,0.14122240309568856,2
0.8978532373232946,0.9764802737830293,2
1.8821306960866626,1.2365848564038486,2
3.382598722022625,0.9916364672858546,2
0.9185652413914709,3.341894255706361,2
1.5371368168351263,1.3347043540654548,2
2.720224181328032,1.317405803630547,2
1.4382917853139827,0.03712130715690298,2
1.8366112141036823,-0.03453847889753914,2
-0.3900341064706474,3.271477916421619,2
2.747877353277516,0.21451156336228294,2
2.691032684635372,2.1167444193105984,2
1.6844697781149527,2.2593050719017933,2
1.4771812406313813,0.8413376502771444,2
1.3293926529104154,-0.5276468175175468,2
1.4554318789926715,1.7208132624522603,2
2.600698374354372,1.5042865091044957,2
3.0262706957111956,0.3834159628827343,2
1.6986279289168957,1.7275923780923381,2
4.257351091989829,2.000306641178689,2
3.329436407335556,3.7137770813874242,3
5.254150220969088,2.744032745741685,3
5.253932639760741,3.249334908033825,3
3.93929570423843,3.937751629252022,3
2.6227275687211264,0.4071201436659124,3
3.5079744123787684,4.667343037462353,3
5.676807159148025,3.5589706878154406,3
2.9811187981777088,3.559984809230951,3
3.092153258489624,3.5014305826753227,3
3.193229943397063,2.690175536411023,3
3.5754411158577515,2.0906123378577712,3
3.2630401390836945,3.2109997347809642,3
5.726706641574338,2.7910892165611334,3
3.2061924535015516,2.2320778016782303,3
2.596583765224887,1.7656099837377348,3
4.6548603060868246,3.6648574277326222,3
3.7819312143927,1.4744302099043087,3
4.224247772946287,1.4570579640543182,3
3.447306627046349,2.5730304000566,3
4.135182621962619,2.604164273018032,3
4.937384840000306,3.448973206538304,3
3.324504695344878,4.496421237477296,3
4.109968569066904,3.9043303570942776,3
4.171815919634103,3.8908751657415714,3
5.59376427072446,3.190527687135872,3
4.9705850229362625,4.336962913587623,4
6.346596537196516,4.1138836945370425,4
4.902846677349092,4.6186298105580965,4
4.055559698547504,5.343879309709981,4
5.863634397070575,4.8019971291811,4
6.338261410914324,3.9952484482373567,4
5.2293695374714675,2.550982791813184,4
4.4115613168896415,4.34855409923395,4
6.7625558621402195,5.554088548983126,4
4.702471975457012,5.451761052707875,4
6.438503003387438,3.354549831367925,4
6.938454506218003,5.324012341215872,4
5.692283141776091,4.331684239180058,4
4.9495664736748495,3.412527566751254,4
2.829703629793606,3.705849912289669,4
7.153975018040196,4.1748321045431105,4
5.768571941997212,5.2729554312902955,4
4.736860473243277,4.862566499100677,4
5.993281541476577,3.699144703938515,4
6.988469127341179,3.7687183007019804,4
5.836242102576559,4.136969934548414,4
5.5190464698672965,4.975449735221727,4
7.6187627708520775,3.2339081848951947,4
5.016344568420437,5.522133833360753,4
7.166162387296313,3.8293013284013426,4
